Instance,Algorithm,Parameters,Optimal Cost,Total Cost,Difference,Execution Time (s)
XML100_1111_01,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.01}",29888,31148.984720834516,1260.9847208345163,0.5131869316101074
XML100_1111_01,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05}",29888,31211.889160529292,1323.889160529292,0.47741198539733887
XML100_1111_01,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.1}",29888,31355.699012021007,1467.6990120210066,0.4750370979309082
XML100_1111_01,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.01}",29888,31287.028166565815,1399.028166565815,0.9518389701843262
XML100_1111_01,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05}",29888,31078.7405333484,1190.7405333483985,0.9504966735839844
XML100_1111_01,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.1}",29888,30981.528339561042,1093.5283395610422,0.9507758617401123
XML100_1111_01,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.01}",29888,30962.5819555312,1074.581955531201,1.4248948097229004
XML100_1111_01,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.05}",29888,31364.257210746142,1476.257210746142,1.4238471984863281
XML100_1111_01,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.1}",29888,31047.106144391062,1159.1061443910621,1.4238038063049316
XML100_1111_01,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.01}",29888,30996.783057096534,1108.7830570965343,0.9219908714294434
XML100_1111_01,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.05}",29888,30955.523342882803,1067.5233428828033,0.9192240238189697
XML100_1111_01,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.1}",29888,31159.818301537016,1271.818301537016,0.9177491664886475
XML100_1111_01,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.01}",29888,31390.31232514533,1502.312325145329,1.8407061100006104
XML100_1111_01,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05}",29888,30955.903024725616,1067.903024725616,1.8386290073394775
XML100_1111_01,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1}",29888,31314.113129627858,1426.1131296278581,1.8363540172576904
XML100_1111_01,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.01}",29888,30935.61053615097,1047.610536150969,2.7566068172454834
XML100_1111_01,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.05}",29888,31087.27837382553,1199.2783738255312,2.7561559677124023
XML100_1111_01,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.1}",29888,31012.90176036097,1124.9017603609682,2.756248950958252
XML100_1111_01,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.01}",29888,31188.421488821325,1300.4214888213246,1.3595640659332275
XML100_1111_01,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.05}",29888,31041.099231940563,1153.0992319405632,1.359976053237915
XML100_1111_01,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.1}",29888,31178.23788212828,1290.23788212828,1.3597638607025146
XML100_1111_01,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.01}",29888,31117.261689974865,1229.2616899748646,2.7212798595428467
XML100_1111_01,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.05}",29888,31145.057183257504,1257.0571832575042,2.7186951637268066
XML100_1111_01,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.1}",29888,31174.091585557355,1286.0915855573548,2.718398332595825
XML100_1111_01,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.01}",29888,31113.637929076624,1225.6379290766235,4.083184242248535
XML100_1111_01,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.05}",29888,30927.025857543755,1039.0258575437547,4.0806498527526855
XML100_1111_01,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.1}",29888,30937.534539033648,1049.534539033648,4.079519033432007
XML100_1111_02,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.01}",38374,40221.126017498165,1847.1260174981653,0.47472405433654785
XML100_1111_02,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05}",38374,40122.89906790997,1748.8990679099734,0.47689008712768555
XML100_1111_02,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.1}",38374,39741.64763291803,1367.6476329180296,0.47544193267822266
XML100_1111_02,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.01}",38374,39929.74979323222,1555.7497932322221,0.9513359069824219
XML100_1111_02,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05}",38374,40334.272639120856,1960.2726391208562,0.9527609348297119
XML100_1111_02,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.1}",38374,40111.64711400683,1737.6471140068315,0.9514889717102051
XML100_1111_02,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.01}",38374,40029.48714640485,1655.4871464048483,1.4282140731811523
XML100_1111_02,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.05}",38374,40023.49547480436,1649.4954748043601,1.4294369220733643
XML100_1111_02,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.1}",38374,40128.95446824548,1754.9544682454798,1.431161880493164
XML100_1111_02,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.01}",38374,40055.20890515054,1681.208905150539,0.9185431003570557
XML100_1111_02,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.05}",38374,40198.91644646195,1824.9164464619535,0.9177341461181641
XML100_1111_02,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.1}",38374,40297.53359757037,1923.533597570371,0.9179511070251465
XML100_1111_02,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.01}",38374,39822.297412699525,1448.297412699525,1.8397009372711182
XML100_1111_02,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05}",38374,39764.07550643521,1390.0755064352124,1.8504650592803955
XML100_1111_02,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1}",38374,39387.55384738703,1013.5538473870329,1.8396637439727783
XML100_1111_02,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.01}",38374,39734.21503118314,1360.2150311831429,2.7581892013549805
XML100_1111_02,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.05}",38374,39625.62161749907,1251.6216174990695,2.7626869678497314
XML100_1111_02,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.1}",38374,39785.88357606716,1411.8835760671573,2.7645697593688965
XML100_1111_02,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.01}",38374,39966.54619187891,1592.5461918789078,1.3631610870361328
XML100_1111_02,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.05}",38374,39970.45982024211,1596.4598202421112,1.3643357753753662
XML100_1111_02,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.1}",38374,39965.33384188668,1591.333841886677,1.3651719093322754
XML100_1111_02,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.01}",38374,39626.99199001932,1252.99199001932,2.7260308265686035
XML100_1111_02,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.05}",38374,39684.81398195207,1310.813981952073,2.7301149368286133
XML100_1111_02,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.1}",38374,40005.044982053514,1631.044982053514,2.7262680530548096
XML100_1111_02,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.01}",38374,39933.76247523209,1559.7624752320917,4.088674068450928
XML100_1111_02,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.05}",38374,39758.325861776764,1384.3258617767642,4.092635869979858
XML100_1111_02,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.1}",38374,39538.70811407354,1164.708114073539,4.087660074234009
XML100_1111_03,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.01}",26322,27729.548353322698,1407.548353322698,0.4753530025482178
XML100_1111_03,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05}",26322,28157.098802021188,1835.098802021188,0.47473907470703125
XML100_1111_03,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.1}",26322,27814.074425036983,1492.0744250369826,0.4754638671875
XML100_1111_03,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.01}",26322,27806.58734112659,1484.5873411265893,0.9513368606567383
XML100_1111_03,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05}",26322,28025.12025600163,1703.1202560016318,0.9512109756469727
XML100_1111_03,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.1}",26322,27658.95762698579,1336.9576269857898,0.9490780830383301
XML100_1111_03,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.01}",26322,27698.194586818357,1376.1945868183575,1.4318909645080566
XML100_1111_03,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.05}",26322,28078.21920978356,1756.2192097835614,1.4262688159942627
XML100_1111_03,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.1}",26322,27741.114490570733,1419.1144905707333,1.4288291931152344
XML100_1111_03,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.01}",26322,27653.124146327977,1331.1241463279766,0.9186036586761475
XML100_1111_03,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.05}",26322,27863.138458585992,1541.1384585859923,0.9193987846374512
XML100_1111_03,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.1}",26322,28011.58600378079,1689.5860037807906,0.9170041084289551
XML100_1111_03,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.01}",26322,27695.279787698862,1373.2797876988625,1.836125135421753
XML100_1111_03,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05}",26322,27460.505629370702,1138.505629370702,1.8385510444641113
XML100_1111_03,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1}",26322,27916.66836539448,1594.6683653944783,1.841001033782959
XML100_1111_03,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.01}",26322,27828.278700835457,1506.2787008354571,2.751677989959717
XML100_1111_03,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.05}",26322,27804.345764494166,1482.3457644941664,2.7600760459899902
XML100_1111_03,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.1}",26322,27487.379927822753,1165.3799278227525,2.7545242309570312
XML100_1111_03,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.01}",26322,27807.624771167357,1485.6247711673568,1.3629732131958008
XML100_1111_03,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.05}",26322,27610.425740924395,1288.4257409243946,1.360685110092163
XML100_1111_03,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.1}",26322,27903.233079759128,1581.2330797591276,1.3621788024902344
XML100_1111_03,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.01}",26322,27749.539506407476,1427.5395064074764,2.7230377197265625
XML100_1111_03,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.05}",26322,27645.032561541695,1323.032561541695,2.7272050380706787
XML100_1111_03,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.1}",26322,27961.163770129708,1639.1637701297077,2.7266008853912354
XML100_1111_03,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.01}",26322,27803.91366896621,1481.9136689662082,4.089018821716309
XML100_1111_03,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.05}",26322,27674.847831311923,1352.847831311923,4.088955879211426
XML100_1111_03,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.1}",26322,27810.196863256322,1488.196863256322,4.089569091796875
XML100_1111_04,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.01}",37554,39048.74521217619,1494.745212176189,0.4817168712615967
XML100_1111_04,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05}",37554,39175.112817989946,1621.112817989946,0.4807901382446289
XML100_1111_04,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.1}",37554,39045.57891902958,1491.5789190295836,0.4813807010650635
XML100_1111_04,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.01}",37554,38731.82541703306,1177.825417033062,0.9631550312042236
XML100_1111_04,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05}",37554,39036.76059708191,1482.7605970819131,0.9637880325317383
XML100_1111_04,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.1}",37554,38869.106349818816,1315.106349818816,0.9657630920410156
XML100_1111_04,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.01}",37554,38912.906357428124,1358.9063574281245,1.449838638305664
XML100_1111_04,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.05}",37554,39175.927596540176,1621.9275965401757,1.4531869888305664
XML100_1111_04,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.1}",37554,38533.44425105396,979.4442510539593,1.4474399089813232
XML100_1111_04,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.01}",37554,39083.89948204051,1529.8994820405132,0.9299557209014893
XML100_1111_04,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.05}",37554,38808.16681251144,1254.1668125114375,0.9337887763977051
XML100_1111_04,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.1}",37554,38830.18490399108,1276.1849039910812,0.9332029819488525
XML100_1111_04,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.01}",37554,38958.80283432158,1404.8028343215774,1.8697710037231445
XML100_1111_04,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05}",37554,38667.158112059864,1113.158112059864,1.8720550537109375
XML100_1111_04,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1}",37554,38706.81906676663,1152.8190667666277,1.869602918624878
XML100_1111_04,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.01}",37554,38583.2813997988,1029.2813997987978,2.809572219848633
XML100_1111_04,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.05}",37554,38795.778647893785,1241.778647893785,2.80194091796875
XML100_1111_04,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.1}",37554,38945.49862857025,1391.498628570247,2.8063161373138428
XML100_1111_04,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.01}",37554,38837.0895055377,1283.0895055376968,1.4517040252685547
XML100_1111_04,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.05}",37554,38705.07670192509,1151.0767019250925,1.3828039169311523
XML100_1111_04,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.1}",37554,38827.99907034194,1273.999070341939,1.3877849578857422
XML100_1111_04,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.01}",37554,38759.17192285374,1205.1719228537404,2.771510124206543
XML100_1111_04,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.05}",37554,38712.389202795006,1158.389202795006,2.7692360877990723
XML100_1111_04,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.1}",37554,38508.25443266077,954.2544326607676,2.7690470218658447
XML100_1111_04,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.01}",37554,38698.40723124919,1144.4072312491917,4.154075860977173
XML100_1111_04,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.05}",37554,38972.8641651045,1418.8641651045036,4.167464971542358
XML100_1111_04,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.1}",37554,38933.20585247638,1379.205852476378,4.1531431674957275
XML100_1111_05,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.01}",33149,34495.83521861659,1346.8352186165866,0.4751880168914795
XML100_1111_05,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05}",33149,34885.690545548256,1736.6905455482556,0.4751861095428467
XML100_1111_05,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.1}",33149,34826.10507231334,1677.1050723133376,0.47556138038635254
XML100_1111_05,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.01}",33149,34249.747331100436,1100.747331100436,0.9492981433868408
XML100_1111_05,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05}",33149,34565.8545811588,1416.8545811587974,0.9518609046936035
XML100_1111_05,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.1}",33149,34616.83735196959,1467.8373519695888,0.9512622356414795
XML100_1111_05,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.01}",33149,34383.17985602827,1234.1798560282696,1.4322400093078613
XML100_1111_05,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.05}",33149,34054.80476576043,905.8047657604329,1.4280779361724854
XML100_1111_05,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.1}",33149,34110.68366742391,961.6836674239094,1.4254353046417236
XML100_1111_05,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.01}",33149,34193.955143313004,1044.9551433130036,0.9186098575592041
XML100_1111_05,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.05}",33149,34251.25501413279,1102.2550141327883,0.9177577495574951
XML100_1111_05,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.1}",33149,34753.92905565745,1604.9290556574488,0.9190521240234375
XML100_1111_05,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.01}",33149,34500.05905164189,1351.0590516418888,1.8366577625274658
XML100_1111_05,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05}",33149,34216.193190968384,1067.1931909683844,1.841597080230713
XML100_1111_05,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1}",33149,34258.531296532245,1109.5312965322446,1.8367459774017334
XML100_1111_05,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.01}",33149,34394.390266728755,1245.3902667287548,2.7579760551452637
XML100_1111_05,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.05}",33149,34243.9215602189,1094.9215602188997,2.75414776802063
XML100_1111_05,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.1}",33149,34416.15969460161,1267.159694601607,2.7590291500091553
XML100_1111_05,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.01}",33149,34059.14650305237,910.1465030523686,1.3611869812011719
XML100_1111_05,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.05}",33149,34451.143153141995,1302.1431531419948,1.3648087978363037
XML100_1111_05,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.1}",33149,34505.17943809288,1356.1794380928768,1.3651812076568604
XML100_1111_05,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.01}",33149,34450.75270839918,1301.7527083991808,2.7313671112060547
XML100_1111_05,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.05}",33149,34406.326686377186,1257.326686377186,2.7277748584747314
XML100_1111_05,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.1}",33149,34291.31734924185,1142.31734924185,2.720478057861328
XML100_1111_05,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.01}",33149,34437.31553291154,1288.3155329115398,4.080644130706787
XML100_1111_05,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.05}",33149,34523.385482505764,1374.3854825057642,4.084929943084717
XML100_1111_05,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.1}",33149,34518.6349890871,1369.6349890870988,4.080986976623535
XML100_1111_06,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.01}",27039,28853.69584512871,1814.69584512871,0.47434282302856445
XML100_1111_06,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.05}",27039,28940.133665480982,1901.133665480982,0.4739358425140381
XML100_1111_06,ACO,"{'num_ants': 5, 'iterations': 10, 'decay': 0.1}",27039,28825.036343787106,1786.0363437871056,0.47464990615844727
XML100_1111_06,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.01}",27039,28795.513265449255,1756.5132654492554,0.9538848400115967
XML100_1111_06,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.05}",27039,28792.963526965385,1753.9635269653845,0.950120210647583
XML100_1111_06,ACO,"{'num_ants': 5, 'iterations': 20, 'decay': 0.1}",27039,28544.455293610987,1505.4552936109867,0.954941987991333
XML100_1111_06,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.01}",27039,28801.264757325753,1762.2647573257527,1.4352538585662842
XML100_1111_06,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.05}",27039,28505.20659079,1466.2065907899996,1.4240338802337646
XML100_1111_06,ACO,"{'num_ants': 5, 'iterations': 30, 'decay': 0.1}",27039,28506.755314702972,1467.755314702972,1.4257159233093262
XML100_1111_06,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.01}",27039,28507.605434034456,1468.6054340344563,0.9162290096282959
XML100_1111_06,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.05}",27039,28695.58152823927,1656.5815282392687,0.9172139167785645
XML100_1111_06,ACO,"{'num_ants': 10, 'iterations': 10, 'decay': 0.1}",27039,28617.76976500089,1578.7697650008886,0.9155077934265137
XML100_1111_06,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.01}",27039,28484.46501257745,1445.4650125774497,1.834089994430542
XML100_1111_06,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.05}",27039,28829.304741789343,1790.304741789343,1.8981997966766357
XML100_1111_06,ACO,"{'num_ants': 10, 'iterations': 20, 'decay': 0.1}",27039,28592.49379200056,1553.4937920005614,1.851088047027588
XML100_1111_06,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.01}",27039,28479.926481900562,1440.926481900562,2.7525758743286133
XML100_1111_06,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.05}",27039,28447.45277007924,1408.4527700792387,2.7497310638427734
XML100_1111_06,ACO,"{'num_ants': 10, 'iterations': 30, 'decay': 0.1}",27039,28557.88801141002,1518.8880114100211,2.756009101867676
XML100_1111_06,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.01}",27039,28258.272612501507,1219.272612501507,1.3583002090454102
XML100_1111_06,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.05}",27039,28605.583975159898,1566.5839751598978,1.3710300922393799
XML100_1111_06,ACO,"{'num_ants': 15, 'iterations': 10, 'decay': 0.1}",27039,28337.861347670812,1298.8613476708124,1.3574738502502441
XML100_1111_06,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.01}",27039,28323.97517885625,1284.9751788562498,2.718106985092163
XML100_1111_06,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.05}",27039,28481.1123246776,1442.1123246776006,2.728579044342041
XML100_1111_06,ACO,"{'num_ants': 15, 'iterations': 20, 'decay': 0.1}",27039,28230.574297374904,1191.5742973749038,2.723332166671753
XML100_1111_06,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.01}",27039,28263.3132688679,1224.3132688678998,4.072798013687134
XML100_1111_06,ACO,"{'num_ants': 15, 'iterations': 30, 'decay': 0.05}",27039,28437.491788005125,1398.4917880051253,4.078438758850098
