Instance,Algorithm,Parameters,Optimal Cost,Total Cost,Difference,Execution Time (s)
XML100_1111_01,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",29888,32995.29032266763,3107.290322667628,0.13653826713562012
XML100_1111_01,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",29888,34186.01002837794,4298.010028377939,0.16507601737976074
XML100_1111_01,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",29888,25716.39854771016,-4171.60145228984,0.23140311241149902
XML100_1111_01,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",29888,32863.99990285883,2975.999902858828,0.16198134422302246
XML100_1111_01,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",29888,28248.31577103044,-1639.6842289695596,0.29642796516418457
XML100_1111_01,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",29888,22761.007135956537,-7126.992864043463,0.42934203147888184
XML100_1111_01,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",29888,24745.22303875732,-5142.776961242678,0.22782397270202637
XML100_1111_01,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",29888,23418.50858090916,-6469.4914190908385,0.433168888092041
XML100_1111_01,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",29888,26833.52870415872,-3054.4712958412783,0.6363258361816406
XML100_1111_02,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",38374,26199.119240899803,-12174.880759100197,0.09410881996154785
XML100_1111_02,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",38374,32610.829827064306,-5763.170172935694,0.16120195388793945
XML100_1111_02,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",38374,35199.04241728934,-3174.95758271066,0.22862601280212402
XML100_1111_02,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",38374,36877.45006103279,-1496.5499389672113,0.16165518760681152
XML100_1111_02,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",38374,34767.063405366236,-3606.936594633764,0.2960989475250244
XML100_1111_02,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",38374,33665.94249927167,-4708.057500728333,0.4337151050567627
XML100_1111_02,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",38374,36997.79747070999,-1376.202529290007,0.2293548583984375
XML100_1111_02,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",38374,34293.923405315545,-4080.076594684455,0.4302659034729004
XML100_1111_02,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",38374,25288.601785385214,-13085.398214614786,0.6295640468597412
XML100_1111_03,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",26322,31814.275186405146,5492.275186405146,0.09246373176574707
XML100_1111_03,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",26322,32231.153223248184,5909.153223248184,0.16341304779052734
XML100_1111_03,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",26322,29796.63628974031,3474.6362897403087,0.22811603546142578
XML100_1111_03,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",26322,27378.207464242736,1056.207464242736,0.16118288040161133
XML100_1111_03,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",26322,30389.96330667826,4067.963306678259,0.2937469482421875
XML100_1111_03,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",26322,29659.389606763034,3337.389606763034,0.42771196365356445
XML100_1111_03,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",26322,29653.065805017657,3331.065805017657,0.2292168140411377
XML100_1111_03,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",26322,13448.061862087174,-12873.938137912826,0.43151402473449707
XML100_1111_03,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",26322,22807.279125450234,-3514.7208745497664,0.6262240409851074
XML100_1111_04,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",37554,22610.401261483457,-14943.598738516543,0.09817886352539062
XML100_1111_04,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",37554,11835.051393259726,-25718.948606740276,0.16207313537597656
XML100_1111_04,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",37554,24212.211839355685,-13341.788160644315,0.24650883674621582
XML100_1111_04,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",37554,22210.0784113318,-15343.9215886682,0.17269110679626465
XML100_1111_04,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",37554,12634.465877115643,-24919.534122884357,0.28789806365966797
XML100_1111_04,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",37554,12634.465877115643,-24919.534122884357,0.38060688972473145
XML100_1111_04,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",37554,27406.288919069782,-10147.711080930218,0.2462291717529297
XML100_1111_04,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",37554,3510.4073837661635,-34043.59261623384,0.43645620346069336
XML100_1111_04,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",37554,7419.482461735441,-30134.51753826456,0.5202212333679199
XML100_1111_05,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",33149,33290.231885556925,141.23188555692468,0.09261012077331543
XML100_1111_05,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",33149,22827.385534024215,-10321.614465975785,0.16025590896606445
XML100_1111_05,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",33149,16814.632481121054,-16334.367518878946,0.22710895538330078
XML100_1111_05,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",33149,28461.728555223148,-4687.271444776852,0.16051888465881348
XML100_1111_05,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",33149,15702.5677596874,-17446.4322403126,0.29474472999572754
XML100_1111_05,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",33149,21653.489637695675,-11495.510362304325,0.4265449047088623
XML100_1111_05,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",33149,17682.60312578946,-15466.396874210539,0.22801494598388672
XML100_1111_05,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",33149,19403.094945534358,-13745.905054465642,0.42739009857177734
XML100_1111_05,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",33149,12690.585287508915,-20458.414712491085,0.6262030601501465
XML100_1111_06,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",27039,27793.969425941974,754.9694259419739,0.09311413764953613
XML100_1111_06,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",27039,31078.341689339697,4039.341689339697,0.16552186012268066
XML100_1111_06,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",27039,29530.676275510727,2491.6762755107266,0.22814106941223145
XML100_1111_06,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",27039,30108.001444051297,3069.001444051297,0.16182494163513184
XML100_1111_06,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",27039,28321.225073811274,1282.2250738112743,0.29526782035827637
XML100_1111_06,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",27039,30844.327753489568,3805.327753489568,0.43012523651123047
XML100_1111_06,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",27039,32372.892605312714,5333.892605312714,0.23016929626464844
XML100_1111_06,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",27039,21523.24803491622,-5515.7519650837785,0.4321901798248291
XML100_1111_06,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",27039,29171.37582782239,2132.3758278223904,0.6301918029785156
XML100_1111_07,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",43143,24349.302551872563,-18793.697448127437,0.0972280502319336
XML100_1111_07,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",43143,20416.31347721718,-22726.68652278282,0.1522669792175293
XML100_1111_07,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",43143,24184.016209058387,-18958.983790941613,0.1944892406463623
XML100_1111_07,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",43143,33046.32325954922,-10096.676740450777,0.17629075050354004
XML100_1111_07,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",43143,18687.664083243613,-24455.335916756387,0.2832770347595215
XML100_1111_07,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",43143,14620.164785070758,-28522.83521492924,0.47631001472473145
XML100_1111_07,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",43143,21091.368851300795,-22051.631148699205,0.243743896484375
XML100_1111_07,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",43143,13655.138227055766,-29487.861772944234,0.3888051509857178
XML100_1111_07,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",43143,5747.910924849127,-37395.08907515087,0.5403540134429932
XML100_1111_08,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",30140,31483.6752744631,1343.6752744631012,0.09348082542419434
XML100_1111_08,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",30140,23322.52740824461,-6817.4725917553915,0.16088199615478516
XML100_1111_08,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",30140,24178.37830029799,-5961.621699702009,0.22807908058166504
XML100_1111_08,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",30140,28036.342842710223,-2103.6571572897774,0.1620190143585205
XML100_1111_08,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",30140,28281.24231852974,-1858.7576814702588,0.2990901470184326
XML100_1111_08,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",30140,26868.25904605066,-3271.7409539493383,0.4450109004974365
XML100_1111_08,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",30140,25406.568594284126,-4733.431405715874,0.2301490306854248
XML100_1111_08,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",30140,23697.10514370252,-6442.89485629748,0.44092798233032227
XML100_1111_08,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",30140,22713.27388056486,-7426.726119435141,0.6350059509277344
XML100_1111_09,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",44883,40318.0922296013,-4564.907770398699,0.10031890869140625
XML100_1111_09,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",44883,38127.880013640155,-6755.119986359845,0.17812299728393555
XML100_1111_09,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",44883,4365.261046031498,-40517.7389539685,0.19528889656066895
